Apr 27, 2023 9:29:41 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Apr 27, 2023 9:29:41 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Apr 27, 2023 9:29:41 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /root/onos/apache-karaf-4.2.9/lock
Apr 27, 2023 9:29:41 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Apr 27, 2023 9:29:41 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-04-27T21:29:42,389 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 6 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.6 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2023-04-27T21:29:42,907 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 | Adding features: war/[4.2.9,4.2.9],deployer/[4.2.9,4.2.9],ssh/[4.2.9,4.2.9],management/[4.2.9,4.2.9],system/[4.2.9,4.2.9],bundle/[4.2.9,4.2.9],log/[4.2.9,4.2.9],eventadmin/[4.2.9,4.2.9],wrap/[2.6.2,2.6.2],instance/[4.2.9,4.2.9],kar/[4.2.9,4.2.9],config/[4.2.9,4.2.9],service/[4.2.9,4.2.9],framework/[4.2.9,4.2.9],package/[4.2.9,4.2.9],scr/[4.2.9,4.2.9],diagnostic/[4.2.9,4.2.9],shell/[4.2.9,4.2.9],webconsole/[4.2.9,4.2.9],feature/[4.2.9,4.2.9],jaas/[4.2.9,4.2.9]
2023-04-27T21:29:43,609 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 | Changes to perform:
2023-04-27T21:29:43,610 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |   Region: root
2023-04-27T21:29:43,611 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |     Bundles to install:
2023-04-27T21:29:43,611 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:javax.el/javax.el-api/3.0.0
2023-04-27T21:29:43,611 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:javax.servlet/javax.servlet-api/3.1.0
2023-04-27T21:29:43,611 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:javax.websocket/javax.websocket-api/1.1
2023-04-27T21:29:43,612 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2023-04-27T21:29:43,612 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2023-04-27T21:29:43,612 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2023-04-27T21:29:43,613 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries.spifly/org.apache.aries.spifly.dynamic.bundle/1.2.3
2023-04-27T21:29:43,613 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2023-04-27T21:29:43,613 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.felix/org.apache.felix.inventory/1.0.6
2023-04-27T21:29:43,613 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.9 |       mvn:org.apache.felix/org.apache.felix.scr/2.1.20
